crime_count,MONTH,HOUR,DAY_OF_WEEK,percent_difference
141,1,0,Friday,-0.31598864470357987447
95,1,0,Monday,-0.53914128543858218492
146,1,0,Saturday,-0.29173292288455788420
245,1,0,Sunday,0.18853036913207752309
76,1,0,Thursday,-0.63131302835086574794
101,1,0,Tuesday,-0.51003441925575579660
181,1,0,Wednesday,-0.12194287015140395233
72,1,1,Friday,-0.65071760580608334015
55,1,1,Monday,-0.73318705999075810706
226,1,1,Saturday,0.09635862621979396008
195,1,1,Sunday,-0.05402684905814237958
76,1,1,Thursday,-0.63131302835086574794
68,1,1,Tuesday,-0.67012218326130093237
107,1,1,Wednesday,-0.48092755307292940828
66,1,2,Friday,-0.67982447198890972847
67,1,2,Monday,-0.67497332762510533042
91,1,2,Saturday,-0.55854586289379977714
93,1,2,Sunday,-0.54884357416619098103
40,1,2,Thursday,-0.80595422544782407786
31,1,2,Tuesday,-0.84961452472206366034
100,1,2,Wednesday,-0.51488556361956019466
27,1,3,Friday,-0.86901910217728125256
23,1,3,Monday,-0.88842367963249884477
35,1,3,Saturday,-0.83020994726684606813
94,1,3,Sunday,-0.54399242980238658298
5,1,3,Thursday,-0.97574427818097800973
8,1,3,Tuesday,-0.96119084508956481557
76,1,3,Wednesday,-0.63131302835086574794
37,1,4,Friday,-0.82050765853923727202
19,1,4,Monday,-0.90782825708771643698
54,1,4,Saturday,-0.73803820435456250511
39,1,4,Sunday,-0.81080536981162847592
2,1,4,Thursday,-0.99029771127239120389
40,1,4,Tuesday,-0.80595422544782407786
72,1,4,Wednesday,-0.65071760580608334015
6,1,5,Friday,-0.97089313381717361168
9,1,5,Monday,-0.95633970072576041752
22,1,5,Saturday,-0.89327482399630324282
79,1,5,Sunday,-0.61675959525945255378
5,1,5,Thursday,-0.97574427818097800973
7,1,5,Tuesday,-0.96604198945336921363
53,1,5,Wednesday,-0.74288934871836690317
37,1,6,Friday,-0.82050765853923727202
4,1,6,Monday,-0.98059542254478240779
20,1,6,Saturday,-0.90297711272391203893
42,1,6,Sunday,-0.79625193672021528176
40,1,6,Thursday,-0.80595422544782407786
26,1,6,Tuesday,-0.87387024654108565061
71,1,6,Wednesday,-0.65556875016988773821
41,1,7,Friday,-0.80110308108401967981
60,1,7,Monday,-0.70893133817173611679
24,1,7,Saturday,-0.88357253526869444672
22,1,7,Sunday,-0.89327482399630324282
161,1,7,Thursday,-0.21896575742749191340
26,1,7,Tuesday,-0.87387024654108565061
115,1,7,Wednesday,-0.44211839816249422385
77,1,8,Friday,-0.62646188398706134989
113,1,8,Monday,-0.45182068689010301996
