percent_overdue,neighborhood
0.26296958855098389982,Allston
0.16550609993872207676,Allston / Brighton
0.14695885509838998211,Back Bay
0.13274495677233429395,Beacon Hill
0.17477583419079817727,Boston
0.19545903257650542942,Brighton
0.19313304721030042918,Charlestown
0.05000000000000000000,Chestnut Hill
0.16957354311147914295,Dorchester
0.15840811548966055404,Downtown / Financial District
0.16694650995442552171,East Boston
0.25258659469185784975,Fenway / Kenmore / Audubon Circle / Longwood
0.18680430879712746858,Greater Mattapan
0.22715064077967922646,Hyde Park
0.20581113801452784504,Jamaica Plain
0.23975409836065573770,Mattapan
0.17876021143680922633,Mission Hill
0.17003272029786753921,Roslindale
0.16136661176569956502,Roxbury
0.19598997493734335840,South Boston
0.14659711628364745829,South Boston / South Boston Waterfront
0.10153097555186328032,South End
0.15956855331924830424,West Roxbury
